station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Jean Jaurès - Place de la Libération,30004,11,3,14,29,"[48.90617751921, 2.4391458057475]"
René Coty - Place Denfert-Rochereau,14005,1,0,1,36,"[48.833056477316, 2.3329411447048]"
Marceau - Président Wilson,8046,10,12,22,32,"[48.8652359, 2.3002513]"
Gambetta - Tourelles,20110,0,1,1,20,"[48.875337902264, 2.4059921130538]"
Verdun - Carnot,32306,1,0,1,29,"[48.883814948134, 2.4402657783125]"
Rome - Provence,8007,5,8,13,30,"[48.874230055580306, 2.325570111724113]"
Verdier - République,21207,0,1,1,29,"[48.815403766277, 2.31739372015]"
Philippe-Auguste,11016,5,0,5,48,"[48.851853488265, 2.3932945355773]"
Bois de Vincennes - Polygone,12122,1,2,3,51,"[48.83544491617421, 2.431421081436563]"
Ménilmontant - Oberkampf,11029,5,1,6,40,"[48.866617658681, 2.3830134404158]"
Volontaires - Vaugirard,15014,1,15,16,34,"[48.84132050184004, 2.30808901725357]"
De Gaulle - Moulin,28002,5,1,6,23,"[48.885816808239, 2.229607694148]"
Pyrénées - Dagorno,20011,1,0,1,20,"[48.855425770695085, 2.4051643162965775]"
Montparnasse -  Square Ozanam,6005,8,4,12,49,"[48.843310567822, 2.3265242949128]"
Flandre - Ourcq,19007,0,1,1,30,"[48.89260159189023, 2.3790915682911873]"
Point du Jour - Jean Jaurès,21016,3,7,10,40,"[48.828753141436465, 2.245911467014621]"
Geoffroy-Saint-Hilaire - Saint-Marcel,5105,4,5,9,17,"[48.83907826424974, 2.356877340669728]"
Bertrand Sincholle - Henri Barbusse,21107,0,17,17,23,"[48.89925982394349, 2.3042294383049016]"
Saint-Mandé - Docteur Arnold Netter,12017,2,6,8,53,"[48.84462585769668, 2.404946386814118]"
Verdun - Pierre et Marie Curie,42027,1,0,1,26,"[48.812822398263286, 2.3707106709480286]"
Alfred de Vigny - Place du Général Brocard,8044,10,10,20,33,"[48.87836138361425, 2.305254448220567]"
Place Tristan Bernard,17036,10,3,13,28,"[48.8794936, 2.2915423]"
Temple - Jean-Pierre Timbaud,11040,1,35,36,36,"[48.86446597201, 2.3660597205162]"
Place d'Italie - Soeur Rosalie,13008,9,0,9,52,"[48.831908520394, 2.3546943448098]"
Perrault - Place du Louvre,1201,9,19,28,28,"[48.860273568996, 2.3412468419093]"
Général Michel Bizot - Claude Decaen,12039,1,22,23,50,"[48.834812629825, 2.4009277881277]"
Marcel Monge - Marcel Dassault,21511,5,21,26,46,"[48.86096384533371, 2.2246733296048142]"
Sèvres - Maréchal Juin,21033,2,7,9,18,"[48.8324305, 2.2292812]"
Galilée - Vernet,8003,17,5,22,47,"[48.871715878697, 2.2985444962978]"
Place des Arts - Jean Mermoz,25009,7,6,13,20,"[48.880391139734, 2.1832160452221]"
Paul Doumer - Stalingrad,41101,5,7,12,24,"[48.806518992199, 2.3368880152702]"
Louis Armand - Bernard Palissy,26010,0,3,3,21,"[48.916974, 2.313384]"
Payenne - Square George Caïn,3201,1,13,14,24,"[48.8578329, 2.3622643]"
Pyrénées - Ménilmontant,20035,0,0,0,26,"[48.8693268535238, 2.395084574818611]"
Pavé des Gardes - Charles Vaillant,23106,5,9,14,20,"[48.81168551728, 2.2111820107205]"
Gare RER - Général de Gaulle,22302,22,8,30,41,"[48.933548439566, 2.3064726536317]"
Saint-Lazare - Place d'Estienne d'Orves,9029,11,6,17,39,"[48.8768345, 2.3329067]"
Epi d'Or - Chevilly,48011,7,1,8,20,"[48.781109786782, 2.3549050362061]"
Port - Maurice Chevalier,41304,6,17,23,30,"[48.832474421632, 2.490257616467]"
Jean Mermoz - Champs-Elysées,8031,24,12,36,49,"[48.869689856852, 2.3107324540615]"
Musée d'Orsay,7007,16,30,46,65,"[48.859726157909, 2.3258604481816]"
Abbé Groult - Convention,15039,1,0,1,27,"[48.83596927866069, 2.302064039509349]"
Ménil - Argenteuil,26011,2,3,5,20,"[48.925901818305, 2.2741496502338]"
Abbé Carton - Plantes,14110,1,0,1,25,"[48.827673823166, 2.3209181427956]"
Saint-Germain - Verdun,32305,0,0,0,30,"[48.882877330093, 2.4331868384644]"
Jean Jaurès - Place du Dr Roux,22305,18,11,29,35,"[48.927567032796, 2.2947337017374]"
Val-Fleury,21954,3,2,5,23,"[48.807671407991, 2.2407217696309]"
Faubourg St-Antoine - Place de la Nation,11201,5,2,7,16,"[48.8487726, 2.393606]"
Gare de Lyon - Roland Barthes,12106,9,38,47,68,"[48.84395729494058, 2.3790882155299187]"
Parc des Pierrettes,23205,2,4,6,23,"[48.7973062, 2.2909969]"
Charles de Gaulle - Les Sablons,22018,10,4,14,35,"[48.880987514929, 2.2715748726513]"
Président Roosevelt - Rouget de Lisle,21320,6,13,19,40,"[48.83047518749, 2.2616135525345]"
Richard Lenoir - Place de la Bastille,11001,4,33,37,53,"[48.8538327, 2.3697222]"
Gare Saint-Lazare - Place de Budapest,9035,6,3,9,44,"[48.877753, 2.327339]"
Hélène et François Missoffe - Emile Borel,17126,8,7,15,32,"[48.89990653843488, 2.321543991674844]"
Adrien Lesesne - Docteur Bauer,34005,5,1,6,30,"[48.90263867304635, 2.348248063431511]"
Porte de Clichy - Place des Nations Unies,17127,2,28,30,40,"[48.896737263309504, 2.310542999196392]"
Roland Garros - Jean Bouin,23204,2,1,3,28,"[48.809460857173, 2.2853198638301]"
Gare RER,31301,16,7,23,30,"[48.896280181078, 2.4581568985227]"
Simone Signoret - Paris,31303,18,0,18,28,"[48.903600624712865, 2.465406596265139]"
Sebastopol - Rambuteau,4104,3,11,14,16,"[48.86181809267, 2.3501381278038]"
Vivienne - Montmartre,2108,22,16,38,54,"[48.871347597383, 2.3414588347077]"
Joseph Sansboeuf - Saint Lazare,8008,6,3,9,32,"[48.875315630653, 2.3229019716382]"
Choisy - Pointe d'Ivry,13205,3,0,3,24,"[48.822154170359, 2.3633708034878]"
Jourdain - Place des Grandes Rigoles,20112,4,0,4,22,"[48.874031137272, 2.3895947635174]"
Place De Fontenoy - Saxe,7201,5,7,12,18,"[48.850270554523, 2.3069813815839]"
Granges aux Belles - Hôpital Saint-Louis,10114,6,4,10,60,"[48.874794994841, 2.366669436985]"
Place Farhat Hached,13202,15,12,27,28,"[48.825487045602, 2.3816306985827]"
Halle Freyssinet - Parvis Alan Turing,13051,10,14,24,37,"[48.832846814471, 2.3711421713233]"
Les Planètes,47008,10,4,14,21,"[48.80929410761, 2.4596271973784]"
Westermeyer - Paul Vaillant-Couturier,42004,4,23,27,25,"[48.819116181578764, 2.3966637253761296]"
Albert Kahn - Duhesme,18206,0,2,2,38,"[48.895623001056, 2.345815078896]"
Clichy - Douai,18044,1,0,1,32,"[48.883687771522, 2.328063700029]"
Fabre d'Eglantine - Place de la Nation,12157,11,11,22,68,"[48.8471116, 2.3956204]"
Colisée - Champs-Elysées,8039,11,3,14,24,"[48.870475399387, 2.3076190799475]"
Place Joffre - Frédéric le Play,7109,12,21,33,38,"[48.853754486938, 2.3044242337346]"
Montreuil - Voltaire,11012,2,1,3,34,"[48.850507011842, 2.3930755582745]"
Rochechouart - Martyrs,18041,4,1,5,20,"[48.882193779572, 2.3405495658517]"
Place de la Nation - Taillebourg,11014,17,5,22,47,"[48.8488408, 2.3973043]"
Boulets - Voltaire,11009,3,26,29,38,"[48.85218705621, 2.3890301585197]"
Jean Jaurès - Ouvrières Pivéreuses,35001,5,4,9,22,"[48.910423437526, 2.3995766043663]"
Place de la Montagne du Goulet,15060,2,17,19,21,"[48.8443415, 2.2773844]"
Place de la République - Temple,3004,4,11,15,18,"[48.867211201859, 2.3635464370545]"
Bourdonnais - Tour Eiffel,7023,9,46,55,60,"[48.860897797941, 2.295599598447]"
Richard Lenoir - Voltaire,11011,3,19,22,25,"[48.86164273878, 2.3727491497993]"
Belfort - Voltaire,11020,8,9,17,53,"[48.8563358, 2.3829901]"
Enfants du Paradis - Peupliers,21021,12,19,31,40,"[48.833122686454, 2.2571459412575]"
Préfecture de Créteil,40007,4,6,10,27,"[48.783680285918, 2.4544713672215]"
Diderot - Pierre Bourdan,12107,1,3,4,21,"[48.847648620797, 2.3902582749724]"
Place Charles Vallin,15122,3,0,3,26,"[48.835523812041, 2.3025986552238]"
Bineau - Louise Michel,23011,4,2,6,26,"[48.88666162207, 2.2843274474144]"
Centre Hospitalier Intercommunal de Créteil,40003,3,0,3,17,"[48.797078298909, 2.463801423807]"
Place de la Gare,23801,1,6,7,20,"[48.838513582184, 2.1866139007512]"
Créteil Village,40004,11,0,11,25,"[48.79122395576, 2.4642198533952]"
Wilson - Landy,32004,0,0,0,40,"[48.915167262214, 2.3576332256198]"
Créteil Pompadour,40008,37,1,38,44,"[48.773011623355, 2.435166164893]"
Bobillot - Paulin Mery,13106,0,1,1,23,"[48.829899841747, 2.3543356766749]"
Réaumur - Montmartre,2202,0,0,0,38,"[48.86791186523, 2.3448715883461]"
Borrégo - Gambetta,20137,0,1,1,25,"[48.87330497045532, 2.4014145880937576]"
Chevreuse - Montparnasse,6010,2,3,5,15,"[48.841739161231, 2.3315522167367]"
Gare Montparnasse - Arrivée,15001,4,1,5,43,"[48.843827994315, 2.3225811123848]"
Charles de Gaulle - Jean Lolive,35014,3,3,6,26,"[48.8932644350857, 2.4126765131950383]"
Noisy le Sec - Jean-Baptiste Clément,31708,0,0,0,22,"[48.874515389637, 2.4152836203575]"
Gare de la Garenne-Colombes,27004,3,1,4,28,"[48.909752, 2.239145]"
Cauchy - Cévennes,15103,3,29,32,51,"[48.843372571022, 2.2751328349113]"
Bois de Vincennes - Gare,41301,4,0,4,50,"[48.836022242887, 2.470833995083]"
Michelet - Dr Bauer,34014,3,21,24,32,"[48.906125424194, 2.3440374449846]"
Jean Jaurès - Gare de Clamart,21404,3,0,3,20,"[48.81321981219, 2.2716768079163]"
Mstislav Rostropovitch - Berthier,17123,6,0,6,18,"[48.892120821173975, 2.309234105050564]"
Institut de France,6001,12,4,16,17,"[48.857615678565, 2.3358313530377]"
Suresnes - Place du Souvenir Français,23805,3,2,5,16,"[48.847007898514, 2.1941100043056]"
Carrefour Pleyel,32012,10,8,18,68,"[48.92034156960326, 2.3438543826341625]"
Institut du Monde Arabe - Saint-Germain,5020,13,27,40,40,"[48.849063299501, 2.3558086529374]"
BNF - Bibliothèque Nationale de France,13123,15,23,38,42,"[48.8350268238, 2.3760157451034]"
Proudhon - Président Wilson,32001,9,4,13,30,"[48.906442763495, 2.3584905266762]"
Danton - Serpente,6016,10,18,28,36,"[48.852297362582, 2.3414132371545]"
Suisses - Colonel de Rochebrune,23806,1,0,1,16,"[48.85440659426, 2.1975097137701]"
Balzac - Champs Elysées,8052,16,8,24,30,"[48.872699639621, 2.3001953959465]"
Chemin Des Mèches - Marc Seguin,40018,8,3,11,27,"[48.784426530213, 2.4370886462938]"
Léon - Doudeauville,18014,1,1,2,13,"[48.888324218452, 2.3535733726386]"
Bleuets - Bordières,40002,2,3,5,19,"[48.802117531472, 2.4543687905029]"
Daumesnil - Picpus,12010,5,4,9,21,"[48.8374688, 2.401765]"
Place des Ardoines,44018,0,1,1,46,"[48.782903985673, 2.406949982641]"
Saint-Denis - Rivoli,1003,7,13,20,43,"[48.859059340842, 2.3476943001151]"
Square Bela Bartok,15204,5,15,20,24,"[48.850984480382, 2.2844360220351]"
Saint-Antoine Sévigné,4010,7,17,24,26,"[48.8550222, 2.3612322]"
Cité de la Musique,19018,5,14,19,60,"[48.888796556487, 2.3925811931922]"
Caumartin - Provence,9104,4,8,12,22,"[48.874422773426545, 2.3284685611724854]"
Gare Saint-Lazare - Cour du Havre,8002,10,2,12,45,"[48.875674400851, 2.3265598341823]"
Arbalète - Claude Bernard,5202,3,3,6,34,"[48.840008992, 2.347522975107]"
Malesherbes - Place de la Madeleine,8004,29,20,49,67,"[48.870406028483, 2.323243509808]"
Bercy - Villot,12105,9,13,22,33,"[48.841795009027, 2.3767850184816]"
Hôpital Mondor,40001,5,2,7,28,"[48.798922410229, 2.4537451531298]"
Toudouze - Clauzel,9020,1,2,3,21,"[48.87929591733507, 2.3373600840568547]"
Cassini - Denfert-Rochereau,14111,0,1,1,25,"[48.837525839067, 2.3360354080796]"
Jourdan - Stade Charléty,14014,6,2,8,60,"[48.819428333369, 2.3433353751898]"
Basilique,32017,1,2,3,22,"[48.93626891059109, 2.3588666820200914]"
Messine - Place Du Pérou,8026,2,5,7,12,"[48.875448033960744, 2.315508019010038]"
Saint-Sulpice,6003,7,13,20,21,"[48.85165383178419, 2.3308077827095985]"
Vaneau - Sèvres,7002,4,14,18,35,"[48.848563233059, 2.3204218259346]"
Lacépède - Monge,5110,5,1,6,23,"[48.84389286531899, 2.3519663885235786]"
Saint-Romain - Cherche-Midi,6108,1,7,8,17,"[48.84708159081946, 2.321374788880348]"
André Karman - République,33006,5,2,7,31,"[48.91039875761846, 2.3851355910301213]"
Pierre et Marie Curie - Maurice Thorez,42016,5,0,5,27,"[48.81580226360801, 2.376804985105991]"
Bas du Mont-Mesly,40011,4,5,9,27,"[48.779751, 2.460837]"
Square Boucicaut,7003,17,28,45,60,"[48.851296433665276, 2.325061820447445]"
Mairie du 12ème,12109,1,4,5,30,"[48.840855311763, 2.3875549435616]"
Bracion - Périphérique,15202,5,3,8,30,"[48.826103771275, 2.3004549373748]"
Le Brun - Gobelins,13007,0,5,5,48,"[48.835092787824, 2.3534681351338]"
Place des Marseillais,42208,1,5,6,35,"[48.826605522232, 2.4059119927899]"
Silly - Galliéni,21010,4,7,11,25,"[48.835583838706, 2.2325500845909]"
Croulebarde - Corvisart,13101,1,7,8,34,"[48.830981659316855, 2.3481646925210953]"
Romainville - Vaillant-Couturier,31024,0,0,0,38,"[48.86785, 2.446748]"
Saint-Fiacre - Poissonière,2022,13,13,26,35,"[48.870828911558, 2.3459213599563]"
Cambrai - Benjamin Constant,19033,5,3,8,43,"[48.89594736851349, 2.381133802246315]"
Chazelles - Courcelles,17025,6,4,10,35,"[48.879406604954, 2.3034455627202988]"
Moulin de Pierre - Abbé Grégoire,21326,5,1,6,20,"[48.822036188382, 2.2754641655975]"
Lagny - Victor Basch,43002,8,9,17,26,"[48.84884147189881, 2.426325418925233]"
Saint-Cloud - Hippodrome,16138,5,5,10,30,"[48.85772148887421, 2.2549109905958176]"
Louis Lejeune - Barbès,21216,4,2,6,25,"[48.81807418981508, 2.3267009854316716]"
Rond-point du Dr Albert Schweitzer,22207,2,3,5,22,"[48.78980918988166, 2.3143940046429634]"
Théâtre des Amandiers - Palais des sports,92002,10,3,13,23,"[48.892648526839, 2.2136941552162]"
Artois - Berri,8103,20,14,34,37,"[48.873935212408, 2.306425832212]"
De Toqueville - Terrasse,17048,2,0,2,30,"[48.882428, 2.314002]"
Jules Guesde - Pont du Port à l'Anglais,44017,2,8,10,30,"[48.79628807093802, 2.417212128639221]"
Michel-Ange - Parent de Rosan,16118,3,1,4,26,"[48.840579923690115, 2.2584119439125065]"
Caire - Dussoubs,2017,6,9,15,40,"[48.86785342111862, 2.349364310503006]"
Marceau - Chaillot,8048,5,1,6,21,"[48.868834023334, 2.2986030816809]"
Regnault - Patay,13118,17,41,58,63,"[48.82435782216384, 2.377065159380436]"
Vigée-Lebrun - Anselme Payen,15112,0,0,0,24,"[48.838683941628375, 2.3110422492027287]"
Italie - Tolbiac,13030,6,1,7,21,"[48.82557229464416, 2.3576171323657036]"
Sarrazins - Saussure,40016,3,2,5,22,"[48.769626617432, 2.4717841148376]"
Félix Ziem - Armand Gauthier,18111,2,1,3,25,"[48.88949630486821, 2.333393658804396]"
Abbeville - Faubourg Poissonnière,9002,2,0,2,14,"[48.879223, 2.349147]"
Place Jean-Spire-Lemaître,43009,0,8,8,50,"[48.8468428626593, 2.452062070369721]"
Bellefond - Poissonnière,9001,0,2,2,17,"[48.87759897050706, 2.348463758826256]"
Square Louis XVI,8016,3,4,7,29,"[48.87320440102894, 2.323658830743138]"
Granges aux Belles,10115,2,0,2,27,"[48.8761373390584, 2.3680844979417]"
Dunkerque - Rocroy,10029,1,0,1,24,"[48.880726, 2.351464]"
Gare de l'Est - Faubourg-Saint-Martin,10161,3,0,3,32,"[48.875642647477, 2.3594588041306]"
Boulangers - Cardinal Lemoine,5022,11,5,16,20,"[48.8462904, 2.3521495]"
Gare d'Austerlitz - Quai Saint-Bernard,13104,3,20,23,27,"[48.84369030864, 2.3657163977623]"
Gare Saint-Lazare - Isly,8009,2,4,6,27,"[48.874777677621296, 2.326515804784655]"
Gare Rosny-Bois-Perrier,31103,12,8,20,35,"[48.88115023337061, 2.480436824262142]"
Porte Pouchet-Bessières,17008,4,3,7,23,"[48.8978765, 2.3230632]"
Ségur - d'Estrées,7018,3,3,6,19,"[48.851419978983, 2.3097044974566]"
Faubourg Montmartre - La Fayette,9014,3,24,27,35,"[48.875254549053, 2.3408536612988]"
Henri Barbusse - Stalingrad,22409,5,1,6,16,"[48.814183748660554, 2.2872862592339516]"
Rossini - Laffitte,9022,9,10,19,33,"[48.87334627510507, 2.337980867701675]"
Gare de Lyon - Place Louis Armand,12151,11,38,49,60,"[48.845515089794, 2.3726498446286]"
Pesaro - Préfecture,92007,10,2,12,22,"[48.89577046284005, 2.223908342421055]"
Ranelagh - Mozart,16026,6,3,9,23,"[48.8554439, 2.2704418]"
Redoute - Les Courtilles,26002,19,16,35,40,"[48.929867194519, 2.2836696356535]"
Belidor - Gouvion-Saint-Cyr,17043,6,8,14,39,"[48.88022154052015, 2.2854680567979813]"
Saint-Maur - Roquette,11023,1,21,22,46,"[48.858688774062955, 2.383553994571467]"
11 Novembre 1918 - 8 Mai 1945,45003,14,3,17,36,"[48.80889533774377, 2.5382421165704727]"
Delphine Seyrig - Général Leclerc,19043,5,2,7,53,"[48.893923963057865, 2.39790290594101]"
Place Jacques Bonsergent,10010,6,26,32,33,"[48.870948218595, 2.3612049221992]"
Desaix - Edgar Faure,15067,2,1,3,12,"[48.852804604940296, 2.293077029857222]"
Liège - Moscou,8010,4,2,6,17,"[48.8795431, 2.3264628]"
Rouget de Lisle,46002,9,7,16,35,"[48.764615483395254, 2.4071189761161804]"
Quai de la Seine,19003,2,1,3,24,"[48.884492238408, 2.3703941702843]"
Place Du Général De Gaulle,31009,1,0,1,26,"[48.8687591, 2.4329931]"
Charles de Gaulle - Beauté,41302,2,0,2,49,"[48.83649602312711, 2.479562651149885]"
Cimetière de Montrouge,14020,6,3,9,58,"[48.821466904768, 2.3215785772007]"
Anatole France - President Roosevelt,33017,5,5,10,29,"[48.9155156, 2.3814103]"
Henry Farman,15042,1,7,8,16,"[48.83372430280548, 2.2713854536414146]"
Gabriel Péri - Francisco Ferrer,33102,4,1,5,18,"[48.88633710236977, 2.407338917255402]"
Roger Salengro - Fontainebleau,42706,3,2,5,25,"[48.814548697325, 2.3611663654447]"
Carducci - Place Hannah Arendt,19120,0,0,0,27,"[48.877436681515796, 2.3860743641853337]"
Schoelcher - Raspail,14003,3,2,5,50,"[48.83681733526843, 2.3312794080411474]"
Fontenay - Libération,43008,2,0,2,25,"[48.847803063647, 2.4451419711113]"
Paul Bodin - Clichy,17204,3,4,7,33,"[48.892594758409, 2.3171403311203]"
Porte de Vanves,14138,1,1,2,32,"[48.828012849445, 2.3056878894567]"
Victor Hugo - Jeanne Jugan,12114,2,4,6,28,"[48.843949064031825, 2.415081394834419]"
Cimetière de Fontenay-sous-Bois,41209,0,0,0,15,"[48.84706173362218, 2.4787822365760808]"
Lucie Aubrac - Fort,21312,1,0,1,30,"[48.818144834008976, 2.271184623241425]"
Rocher - Laborde,8017,2,1,3,65,"[48.87590240712654, 2.322616316378116]"
Lecourbe - Jean Maridor,15054,2,3,5,19,"[48.83796366147599, 2.2877392172813416]"
Grenelle - Violet,15106,4,23,27,35,"[48.84993035512154, 2.294612042605877]"
Marc Sangnier - Porte de Vanves,14106,1,1,2,21,"[48.825218683556734, 2.3107116669416428]"
Guy Môquet - Etienne Dolet,22406,2,1,3,23,"[48.81527009991819, 2.298078276995073]"
Boissière - Etienne Dolet,31102,2,0,2,21,"[48.876111, 2.4677312]"
Chabanais - Petits Champs,2111,13,11,24,30,"[48.86703740186721, 2.336716018617153]"
Bertie Albrecht - Hoche,8054,6,4,10,32,"[48.87614039826388, 2.301303138307601]"
Cevennes - Bergers,15109,1,14,15,29,"[48.84240765130395, 2.281037718057633]"
Enghien - Faubourg Poissonnière,10042,3,10,13,33,"[48.872420063053, 2.3483952362828]"
Manin - Carrières d'Amérique,19103,2,1,3,20,"[48.884672142095, 2.3919698596001]"
Place Marcel Cachin,42014,1,24,25,32,"[48.81411442356866, 2.39090770483017]"
Hôtel de Ville de Boulogne Billancourt,21005,10,13,23,26,"[48.834958851668, 2.2416803240776]"
Victor Cousin - Cujas,5203,10,0,10,19,"[48.847909849567, 2.3424898070094]"
Edouard Tremblay - Julian Grimaux,44013,4,0,4,30,"[48.781383825117, 2.3723508417606]"
Repos - Cimetière du Père Lachaise,20131,1,0,1,33,"[48.859358523593, 2.3896131366845]"
Lakanal - Commerce,15034,2,33,35,53,"[48.84442462786544, 2.294059172272682]"
Tertres - Fontaine,22203,1,0,1,28,"[48.787553654715644, 2.306235730648041]"
Raspail - Manufacture des Oeillets,42021,1,16,17,32,"[48.8094458, 2.3903009]"
Marcelle - Thalie,35020,1,0,1,20,"[48.8835462, 2.4137883]"
Henri Ste-Claire Déville - Paul Héroult,25003,5,2,7,24,"[48.892663, 2.172411]"
Jean Jaurès - Salvador Allende,22402,1,2,3,43,"[48.821475594736775, 2.3026576638221745]"
Oberkampf - République,11030,3,1,4,24,"[48.86531608707, 2.37611478491]"
Cambon - Rivoli,1020,16,20,36,40,"[48.866143390992, 2.3251800647137]"
Chemin Vert - Saint-Maur,11026,3,3,6,45,"[48.86112461407359, 2.381299026310444]"
Général De Gaulle - Alouette,41601,2,0,2,26,"[48.839109, 2.4175664]"
Jules Guesde - Alsace,23006,5,8,13,25,"[48.890566275506, 2.2950777411461]"
Place Madeleine Daniélou,17105,1,18,19,42,"[48.883498, 2.282015]"
Championnet - Vauvenargues,18028,3,1,4,33,"[48.89401874744574, 2.3319872841238976]"
Jean-François Lépine - Stephenson,18009,1,0,1,22,"[48.88611466796807, 2.356855627529275]"
Gare RER de Vincennes,43005,39,9,48,51,"[48.847563015126106, 2.433383166790009]"
Galilée - Kléber,16008,3,1,4,32,"[48.867411865714, 2.2907813801148]"
Beffroy,22003,9,7,16,26,"[48.886591074488, 2.2613945603371]"
Mairie du 11ème,11024,4,14,18,51,"[48.858925, 2.3789759]"
Marché Secrétan,19022,3,1,4,26,"[48.88125496379482, 2.373463287949562]"
Quai Panhard et Levassor,13050,26,27,53,57,"[48.828374828097, 2.3842737458056]"
Victor Hugo - Galliéni,21008,2,3,5,34,"[48.838020154411, 2.2460845112801]"
Beaujon - Wagram,8056,2,1,3,29,"[48.875352455985, 2.2964416444302]"
Auguste Cain - Jean Moulin,14136,2,13,15,40,"[48.82577028927573, 2.3210415244102482]"
Chemin Vert - Fraternité,32302,3,0,3,20,"[48.877141208359035, 2.4461565166711807]"
Pierret - Madrid,22006,10,9,19,28,"[48.882976576876565, 2.260125767248034]"
Reims - Raymond Pitet,17028,5,11,16,37,"[48.8888, 2.296319]"
Saint-Vincent - Verdun,21301,1,28,29,34,"[48.819211549234495, 2.254007756710053]"
Aristide Briand - Gare de Bagneux,42302,2,4,6,22,"[48.79387269664978, 2.321148812770844]"
Seine - Flandre,19029,2,5,7,19,"[48.886785741479684, 2.3746193200349808]"
Hautpoul - Jean Jaurès,19016,0,0,0,32,"[48.886393679436, 2.3865414544355]"
Wilson - Métallurgie,32003,3,5,8,28,"[48.909423010092326, 2.3584435880184174]"
Grand Prieuré - Crussol,11042,2,43,45,49,"[48.864660627935, 2.3692265531829]"
Leroy des Barres - Médiathèque,32026,14,5,19,26,"[48.928253687082, 2.3681719727966]"
Square d'Anvers,9005,0,0,0,33,"[48.882633484311, 2.3448844062122]"
Place du Palais Royal,1013,18,29,47,67,"[48.862382970647, 2.3384822532535]"
Mairie du 7ème,7102,8,9,17,48,"[48.8577967, 2.3192664]"
Prague - Théophile Roussel,12204,2,19,21,34,"[48.850330563516, 2.3758223011125]"
Laumière - Petit,19013,2,2,4,34,"[48.88467368538326, 2.380039058625698]"
Boétie - Ponthieu,8050,18,15,33,45,"[48.871417284355, 2.3076787590981]"
Hôpital Bégin,43003,6,16,22,26,"[48.84571672113, 2.4272462725639]"
Gare RER de Gentilly,42504,7,0,7,30,"[48.814280450380224, 2.3410347104072575]"
Charonne - Avron,20043,2,1,3,27,"[48.851602665222, 2.3984030470379]"
Place de la Porte de Paris,32016,5,7,12,40,"[48.93009363207303, 2.3564037680625916]"
Place Amédée Gordini - Lefebvre,15201,4,19,23,38,"[48.83061737745, 2.2920634208276]"
Stalingrad - Désiré Chevalier,31010,4,3,7,42,"[48.85670169739857, 2.445072233676911]"
Charonne - Faubourg Saint-Antoine,11004,1,24,25,34,"[48.852191909696, 2.3740932717919]"
Victor Hugo - Ecoles,41402,3,9,12,25,"[48.80476007936134, 2.4180373930262093]"
Stephenson - Doudeauville,18012,2,0,2,36,"[48.888537048944826, 2.3561610281467438]"
Boulard - Daguerre,14036,2,0,2,45,"[48.83446472680611, 2.3293386027216907]"
Charenton - Diderot,12009,1,10,11,18,"[48.846171461187, 2.3793068155646]"
Mairie du 4ème,4015,8,18,26,44,"[48.855949910497, 2.3563823103905]"
Montgallet - Charenton,12027,3,4,7,16,"[48.842647778701, 2.3861649278137]"
Alfred Roll - Berthier,17102,2,3,5,28,"[48.887808570529, 2.3000952981763]"
Dupleix - du Guesclin,15025,5,12,17,47,"[48.85147910413369, 2.296709530055523]"
Ancien Canal - Hélène Brion,35018,2,0,2,23,"[48.89484799296163, 2.4188338592648506]"
Departement - Pajol,18110,0,1,1,19,"[48.886674849730184, 2.3613611608743668]"
Fragonard - Porte de Clichy,17011,1,30,31,56,"[48.894155633419, 2.3143893107772]"
Place des Ternes.,17045,7,3,10,46,"[48.878438631226516, 2.297727763652802]"
Edouard Poisson - Victor Hugo,33018,7,4,11,30,"[48.91118557052621, 2.379864752692811]"
Jean Macé - Faidherbe,11007,0,48,48,78,"[48.85337548426, 2.3828620836139]"
Jacques Callot - Mazarine,6013,18,9,27,28,"[48.855280175332, 2.3375743255019]"
Place Jacques Madaule,21305,8,9,17,25,"[48.823933787309, 2.2606918215752]"
Porte de la Chapelle - Boulevard Ney,18204,10,3,13,52,"[48.900097357789, 2.3586005020149]"
Jardin d'Acclimatation,16121,4,5,9,33,"[48.878772242510465, 2.270772233605385]"
Bayen - Pereire,17037,3,1,4,22,"[48.881804409079656, 2.2921088710427284]"
Clignancourt - Sofia,18141,1,0,1,19,"[48.88511992309783, 2.34719488842051]"
Route de Sèvres - Porte de Bagatelle,16124,3,30,33,66,"[48.87525984132485, 2.249415814876557]"
Bordier - Félix Faure,33003,1,7,8,48,"[48.90390751882016, 2.3830059170722966]"
18 juin 1940 - Buzenval,25005,11,2,13,25,"[48.868807, 2.185428]"
Mairie de La Garenne Colombes,22505,1,3,4,22,"[48.90663823468682, 2.24679596722126]"
Jean Colly - Tolbiac,13045,5,3,8,36,"[48.827817291597846, 2.3705490678548813]"
Porte de la Villette,19115,1,3,4,27,"[48.89835196548483, 2.386150136590004]"
Flandrin - Henri Martin,16018,0,6,6,18,"[48.8643275, 2.2724174]"
Place du 8 Mai 1945,25008,0,8,8,18,"[48.871552174017, 2.2025031970585]"
Gare de Courbevoie,24002,3,5,8,35,"[48.8993867, 2.2506506]"
Porte d'Auteuil,16034,5,20,25,33,"[48.8479394142243, 2.2608396783471107]"
Assemblée Nationale,7009,4,18,22,76,"[48.861411014652, 2.3201214185208]"
