station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Miromesnil - La Boétie,8025,11,17,28,35,"[48.873722412917, 2.3158480972052]"
Arago - Glacière,13002,1,1,2,27,"[48.83486054775774, 2.3445770524322067]"
Boyer - Ménilmontant,20121,0,0,0,19,"[48.868895162679, 2.3919824145635]"
Quai du docteur Dervaux,26013,1,8,9,26,"[48.910482, 2.297998]"
Villiers de l'Isle Adam - Pyrénées,20111,2,0,2,20,"[48.867362, 2.396222]"
Place Jean Ferrat,42015,1,0,1,25,"[48.8184945213025, 2.3744174838066106]"
Tristan Tzara -  Tchaïkovski,18201,6,0,6,33,"[48.89490221746837, 2.3648490384221077]"
Hôtel de Ville de Nanterre,92008,0,3,3,38,"[48.892371898250424, 2.205548956990242]"
Général Delambre - Prebuard,51004,7,2,9,29,"[48.93870344444, 2.2234171606307]"
Place de l'Édit de Nantes,19125,1,5,6,30,"[48.88879, 2.3785]"
Simon Bolivar - Henri Turot,19205,4,0,4,23,"[48.877475489801, 2.3739709492211]"
Saint-Germain - Thenard,5123,4,7,11,31,"[48.850571, 2.3471015]"
Henri Barbusse,31203,4,4,8,30,"[48.932092978246, 2.3982878482409]"
Flandre - Alphonse Karr,19008,4,3,7,26,"[48.89465, 2.381868]"
Saint Georges - d'Aumale,9021,3,1,4,23,"[48.87778639599673, 2.337429821491241]"
Anatole France - Louise Michel,23009,7,21,28,50,"[48.88873214926474, 2.2881576418876652]"
Stalingrad - Germaine Tailleferre,42029,2,3,5,28,"[48.80257200481316, 2.3786691203713417]"
Bienfaisance - Place de Narvik,8035,10,12,22,36,"[48.87660163459077, 2.3129771277308464]"
Guynemer - Séverine,21313,1,19,20,26,"[48.83091743371036, 2.2790706530213356]"
Richard Wallace - Place du 8 Mai 1945,28001,6,3,9,30,"[48.87866794788021, 2.2420343756675725]"
Square Gilbert Thomain,26007,15,0,15,20,"[48.90717373809284, 2.2695400938391685]"
Flandre - Riquet,19005,2,2,4,21,"[48.888013281448, 2.3737595955229]"
Parmentier - Hôpital Saint-Louis,10113,2,5,7,43,"[48.871379874257, 2.3698963836667]"
Pasteur - Gambetta,41606,5,4,9,19,"[48.84572797384512, 2.4236011505126953]"
Place de Verdun,43402,5,30,35,40,"[48.8202823, 2.473775]"
Montgallet - Reuilly,12013,3,5,8,15,"[48.844291, 2.3896481]"
Montreuil - Gonnet,11115,2,1,3,24,"[48.850500564921, 2.3890856287864]"
Faustin Hélie - Desbordes-Valmore,16111,1,1,2,33,"[48.859403, 2.276522]"
Jussieu - Fossés Saint-Bernard,5021,7,29,36,39,"[48.847185510023, 2.3534858599305]"
Porte de Vincennes,12115,0,15,15,33,"[48.846454, 2.415514]"
Varenne,7015,7,24,31,47,"[48.857202661803, 2.3152771219611]"
